DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11
Confirmed,"Apache","Arizona","US",71887,15523,0,0.00,129,43.78,231,3.75,323,83.14,338,52.65,369,81.13,424,6.45,435,43.09,483,0.84,640,69.07,683,44.97
Confirmed,"Cochise","Arizona","US",125922,18621,0,0.00,168,35.42,235,2.52,334,146.55,343,110.15,352,144.55,499,2.52,626,55.32,636,46.40,683,115.13,683,115.13
Confirmed,"Coconino","Arizona","US",143476,25844,0,0.00,71,20.07,80,4.72,162,48.67,213,9.43,354,171.35,488,-1.74,660,82.96,674,55.59,683,101.78,683,101.78
Confirmed,"Gila","Arizona","US",54017,11377,0,0.00,187,19.82,225,3.88,351,55.77,409,3.02,443,32.46,478,-1.59,579,38.53,617,16.67,683,53.13,683,53.13
Confirmed,"Graham","Arizona","US",38837,8661,0,0.00,187,15.17,235,2.06,352,82.29,432,1.48,443,17.02,506,-3.74,588,35.50,616,14.33,667,32.99,683,27.67
Confirmed,"Greenlee","Arizona","US",9498,1390,0,0.00,187,1.64,235,-0.05,315,8.57,334,3.52,350,6.14,509,-0.10,598,8.88,630,4.40,656,11.05,683,4.40
Confirmed,"La Paz","Arizona","US",21108,3449,0,0.00,136,12.98,252,0.86,315,17.49,327,12.86,348,38.31,511,0.02,603,13.43,627,4.33,683,9.94,683,9.94
Confirmed,"Maricopa","Arizona","US",4485414,813042,0,0.00,164,2605.59,247,220.40,352,5937.39,422,168.92,463,522.88,509,300.27,584,2129.15,633,1268.74,683,2513.78,683,2513.78
Confirmed,"Mohave","Arizona","US",212181,36585,0,0.00,173,67.82,260,6.93,346,275.74,479,9.95,585,104.93,633,66.97,665,94.67,673,77.50,682,102.24,683,102.19
Confirmed,"Navajo","Arizona","US",110923,25050,0,0.00,71,28.52,79,6.91,156,66.27,250,4.96,323,122.91,415,-18.12,443,30.58,500,3.05,661,114.14,683,98.87
Confirmed,"Out of AZ","Arizona","US",-1,0,0,0.00,683,0.00,683,0.00,,,,,,,,,,,,,,,,
Confirmed,"Pima","Arizona","US",1047279,162383,0,0.00,163,309.59,221,81.01,240,263.77,262,70.64,328,1045.34,340,949.84,353,1217.14,502,1.98,667,592.71,683,572.09
Confirmed,"Pinal","Arizona","US",462789,82933,0,0.00,167,170.15,237,25.30,352,588.08,410,97.21,420,152.36,512,25.49,584,232.96,625,154.60,683,352.19,683,352.19
Confirmed,"Santa Cruz","Arizona","US",46498,10007,0,0.00,146,62.11,217,0.30,321,73.65,339,56.34,346,65.94,508,1.15,588,10.99,627,6.73,664,31.02,683,29.47
Confirmed,"Unassigned","Arizona","US",-1,0,0,0.00,237,0.30,246,-0.21,346,1.19,353,-1.13,377,0.57,457,-0.04,491,0.17,498,-0.32,567,0.06,683,0.00
Confirmed,"Yavapai","Arizona","US",235099,33495,0,0.00,159,35.03,237,7.67,352,211.96,387,21.45,408,110.30,430,4.36,585,102.96,628,68.14,683,172.34,683,172.34
Confirmed,"Yuma","Arizona","US",213787,43018,0,0.00,152,204.31,230,11.80,324,393.47,341,265.48,351,338.03,512,1.69,584,85.54,633,22.91,683,54.72,683,54.72
